time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/explained_variance,train/policy_gradient_loss,train/loss,train/clip_fraction,train/entropy_loss,train/approx_kl,train/learning_rate,train/n_updates,train/value_loss,train/clip_range
1,15.31,188,10,7892992,-1.0812,0.25736039876937866,-0.03969561051344499,0.11230412125587463,0.148388671875,-3.610902410745621,0.017089548,0.0003,38530,0.866766631603241,0.2
1,16.66,189,10,7895040,-0.8732000000000001,0.26800644397735596,-0.048247478622943166,0.09858155250549316,0.193115234375,-3.654712462425232,0.020283576,0.0003,38540,0.6854825302958488,0.2
1,17.01,189,10,7897088,-0.6552,0.19509202241897583,-0.04631010177545249,0.0457383394241333,0.191064453125,-3.6689980149269106,0.02061083,0.0003,38550,0.7029706969857216,0.2
1,16.33,190,10,7899136,-0.7916,0.1384357213973999,-0.05047536037163809,0.015861958265304565,0.200146484375,-3.7066342771053313,0.022573538,0.0003,38560,0.6592944726347924,0.2
1,16.29,192,10,7901184,-0.6808,0.19427216053009033,-0.04795922931516543,0.020469754934310913,0.19443359375,-3.679195463657379,0.02074758,0.0003,38570,0.6330868437886238,0.2
1,17.01,190,10,7903232,-0.5751999999999999,0.2596471905708313,-0.04188651273725554,0.058856964111328125,0.16201171875,-3.7185432493686674,0.017047554,0.0003,38580,0.702037587761879,0.2
1,17.57,190,10,7905280,-0.3963999999999999,0.03245699405670166,-0.043483827845193446,-0.013818979263305664,0.153515625,-3.7104857683181764,0.019035544,0.0003,38590,0.5907779589295388,0.2
1,17.08,190,10,7907328,-0.5566,0.11583012342453003,-0.04855672537814826,-0.0353534072637558,0.175634765625,-3.7692619144916533,0.020179091,0.0003,38600,0.5416851326823234,0.2
1,16.77,191,10,7909376,-0.7404000000000002,0.17245954275131226,-0.04692468695575371,0.002392888069152832,0.172119140625,-3.7215946495532988,0.020657849,0.0003,38610,0.6327639520168304,0.2
1,14.78,189,10,7911424,-0.5055999999999999,0.18948042392730713,-0.050632007094100116,-0.018251538276672363,0.20498046875,-3.7282098293304444,0.020156898,0.0003,38620,0.6123605996370316,0.2
1,13.23,191,10,7913472,-0.8896000000000001,0.18785852193832397,-0.04144064954016358,0.0377519428730011,0.141748046875,-3.502422195672989,0.018246494,0.0003,38630,0.6824094519019127,0.2
