rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/explained_variance,train/clip_range,train/loss,train/clip_fraction,train/approx_kl,train/n_updates,train/learning_rate
13.34,0.5108,27406336,1,10,188,-0.03201244465308264,2.047779384255409,-2.982415646314621,0.1548023819923401,0.2,0.7823002338409424,0.149072265625,0.018131409,133810,0.0003
14.76,0.4543999999999999,27408384,1,11,182,-0.030014690477401018,1.7616640478372574,-2.875540482997894,0.01772487163543701,0.2,0.6971487402915955,0.1447265625,0.01990252,133820,0.0003
15.66,0.5653,27410432,1,10,188,-0.03232350666075945,1.789066630601883,-2.9263509154319762,0.06792378425598145,0.2,0.605682909488678,0.12548828125,0.016998949,133830,0.0003
14.57,0.6622,27412480,1,11,184,-0.031439234863501045,1.626831552386284,-2.95994376540184,0.10195499658584595,0.2,0.5736913084983826,0.15087890625,0.018588576,133840,0.0003
15.15,0.7400999999999999,27414528,1,10,187,-0.034821054548956454,1.2742520600557328,-2.889231663942337,0.16298598051071167,0.2,0.3339541256427765,0.152099609375,0.01608627,133850,0.0003
10.68,-1.474,27416576,1,10,187,-0.03468548286473379,2.015516147017479,-2.95704043507576,0.09752035140991211,0.2,0.5329903364181519,0.151318359375,0.021686777,133860,0.0003
15.22,0.6682000000000001,27418624,1,10,189,-0.0285553258494474,2.3420344978570937,-2.6289087533950806,0.3342652916908264,0.2,0.9003745317459106,0.125244140625,0.026808172,133870,0.0003
16.81,1.0481000000000003,27420672,1,10,189,-0.0296258641872555,1.906747168302536,-2.8893563389778136,0.07247966527938843,0.2,0.559607982635498,0.122802734375,0.01675331,133880,0.0003
14.99,0.5712999999999999,27422720,1,10,187,-0.03810454693157226,1.6936193645000457,-2.94785053730011,0.17112261056900024,0.2,0.5006133913993835,0.166357421875,0.019082922,133890,0.0003
11.62,-0.5282000000000001,27424768,1,10,186,-0.0323970801429823,1.8804234445095063,-2.959593039751053,0.020981967449188232,0.2,0.6837520599365234,0.1609375,0.023132017,133900,0.0003
11.49,-0.8833999999999999,27426816,1,10,189,-0.030391530646011234,2.188779503107071,-2.68476625084877,0.24269884824752808,0.2,0.8164257407188416,0.16865234375,0.02104454,133910,0.0003
16.54,0.5413,27428864,1,11,184,-0.04029613987077028,2.3219378113746645,-2.709909701347351,0.3403581976890564,0.2,0.925424337387085,0.188134765625,0.017729964,133920,0.0003
14.65,0.5834999999999999,27430912,1,10,186,-0.030664186622016133,1.875331923365593,-2.9643876969814302,0.07466071844100952,0.2,0.715179443359375,0.143701171875,0.01685649,133930,0.0003
14.87,0.5857,27432960,1,11,184,-0.03442617973778397,2.363379919528961,-2.829508292675018,0.17383283376693726,0.2,0.9030619859695435,0.1541015625,0.014456252,133940,0.0003
13.66,-0.18960000000000005,27435008,1,10,186,-0.038059180090203884,1.9411526590585708,-2.881313371658325,0.24309813976287842,0.2,0.746863842010498,0.176806640625,0.020350635,133950,0.0003
15.53,0.9300999999999998,27437056,1,10,190,-0.026488260796759276,2.140713259577751,-2.731023746728897,-0.004454851150512695,0.2,0.7922816872596741,0.1302734375,0.017725026,133960,0.0003
16.05,1.5568,27439104,1,6,303,-0.02611338075948879,1.7594422221183776,-2.9174982011318207,0.155867338180542,0.2,0.6177008152008057,0.107373046875,0.01649009,133970,0.0003
15.72,1.7198000000000002,27441152,1,6,320,-0.03830630641896278,0.9920666366815567,-3.108344000577927,0.24197065830230713,0.2,0.2879659831523895,0.190283203125,0.021303859,133980,0.0003
15.77,1.4440000000000004,27443200,1,6,328,-0.04160099861910567,1.1513364538550377,-3.106939274072647,0.24662530422210693,0.2,0.2738136649131775,0.213037109375,0.021624854,133990,0.0003
16.7,0.1269000000000001,27445248,1,10,190,-0.035829167859628794,0.8387634038925171,-3.051251029968262,0.22969543933868408,0.2,0.21560652554035187,0.162158203125,0.018520623,134000,0.0003
16.06,0.38030000000000014,27447296,1,11,177,-0.02907318277284503,2.264028489589691,-3.175072431564331,-0.05705833435058594,0.2,0.7864380478858948,0.115478515625,0.016176311,134010,0.0003
16.29,-0.4485000000000002,27449344,1,11,185,-0.03271216425346211,1.8251182585954666,-3.1348815143108366,0.05149573087692261,0.2,0.7064627408981323,0.14658203125,0.017103352,134020,0.0003
15.26,-0.16840000000000002,27451392,1,10,190,-0.033260003163013606,1.6913091242313385,-3.102605736255646,0.05816251039505005,0.2,0.5864773988723755,0.138134765625,0.015662812,134030,0.0003
16.06,0.6588999999999998,27453440,1,10,191,-0.03621397241950035,2.0410620361566543,-3.168800061941147,0.01755887269973755,0.2,0.6889033317565918,0.178271484375,0.019954717,134040,0.0003
16.49,0.45660000000000006,27455488,1,11,181,-0.02984970142133534,1.8698130786418914,-3.1351375579833984,0.04917186498641968,0.2,0.6341179609298706,0.130126953125,0.018328857,134050,0.0003
15.66,0.138,27457536,1,11,182,-0.03543249506037682,1.9712556302547455,-3.160003751516342,0.024107813835144043,0.2,0.6915470361709595,0.167333984375,0.017539658,134060,0.0003
14.81,0.11659999999999998,27459584,1,10,188,-0.033477561140898615,1.822840654850006,-3.083684724569321,0.05294299125671387,0.2,0.6485766768455505,0.141015625,0.01632322,134070,0.0003
14.65,-0.041899999999999965,27461632,1,10,189,-0.03346220919629559,1.7867379516363144,-3.087708979845047,0.03439515829086304,0.2,0.6285289525985718,0.144873046875,0.015592846,134080,0.0003
14.95,0.18619999999999998,27463680,1,10,187,-0.03671806589700281,2.073108783364296,-3.083042895793915,0.03821223974227905,0.2,0.8284911513328552,0.168017578125,0.017514858,134090,0.0003
14.15,0.8403,27465728,1,10,188,-0.0308073733584024,1.9278372406959534,-3.0669726371765136,-0.0017637014389038086,0.2,0.7525251507759094,0.126953125,0.016181799,134100,0.0003
