time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,train/clip_range,train/clip_fraction,train/value_loss,train/approx_kl,train/n_updates,train/loss,train/learning_rate,train/explained_variance,train/entropy_loss,train/policy_gradient_loss
17952768,9.36,187,10,1,-0.296055,0.2,0.1177734375,2.037578025460243,0.014104174,87650,0.8956071138381958,0.0003,0.06521850824356079,-2.00007304251194,-0.02306064076256007
17954816,9.37,187,10,1,-0.11756805000000002,0.2,0.1947265625,1.838151252269745,0.018702121,87660,0.7341204881668091,0.0003,0.0770222544670105,-1.954863077402115,-0.03702964466065169
17956864,8.42,188,10,1,-0.06872429000000001,0.2,0.159423828125,1.7177607595920563,0.015673045,87670,0.7498704195022583,0.0003,0.08905309438705444,-1.8706555604934691,-0.032402772712521254
17958912,9.49,185,11,1,0.6266883500000001,0.2,0.1708984375,1.5904138565063477,0.015860077,87680,0.7295118570327759,0.0003,0.1403908133506775,-1.79453986287117,-0.032142805168405175
17960960,8.72,189,10,1,0.38109434999999997,0.2,0.13681640625,1.218346858024597,0.015681474,87690,0.5288977026939392,0.0003,0.10916590690612793,-1.762769454717636,-0.02859096861211583
17963008,11.04,190,10,1,-0.18004506000000003,0.2,0.164013671875,1.63203566968441,0.019975714,87700,0.7227635383605957,0.0003,0.10476648807525635,-1.775044897198677,-0.0310509322443977
17965056,9.25,186,10,1,0.18296300999999995,0.2,0.182421875,1.269821260869503,0.019767988,87710,0.5153326392173767,0.0003,0.36476606130599976,-2.242528331279755,-0.033631533314473924
17967104,4.85,184,11,1,-3.4290527799999997,0.2,0.2025390625,1.0622307807207108,0.019930098,87720,0.4114498496055603,0.0003,0.5752029418945312,-2.0490419059991836,-0.03495368270669132
17969152,5.09,176,11,1,-3.3913305200000003,0.2,0.053125,4.557709701359272,0.005737439,87730,0.2626595199108124,0.0003,-1.4945924282073975,-1.4776939898729324,-0.004931241367012262
17971200,5.14,183,11,1,-3.21080891,0.2,0.13740234375,0.3561853922903538,0.014826687,87740,0.07456929236650467,0.0003,-0.2644151449203491,-1.5634192913770675,-0.017278136615641416
17973248,7.74,185,11,1,0.02868498999999998,0.2,0.255517578125,0.42775087580084803,0.022063568,87750,0.1609765589237213,0.0003,0.11225438117980957,-1.5955975145101546,-0.026299141813069582
17975296,4.92,183,11,1,-3.27903749,0.2,0.05341796875,3.8131024658679964,0.007988809,87760,0.7538505792617798,0.0003,0.06433141231536865,-1.6098568141460419,-0.012072898331098258
17977344,7.31,186,10,1,0.41495502,0.2,0.0673828125,2.953020119667053,0.0099911485,87770,0.4124257564544678,0.0003,-0.5517427921295166,-1.5707399755716325,-0.013004131754860282
17979392,7.68,185,11,1,0.49937964,0.2,0.086376953125,4.421243923902511,0.0074330335,87780,1.138807773590088,0.0003,-0.04638028144836426,-1.4290743887424469,-0.009086787700653076
17981440,7.93,185,11,1,0.15368738999999992,0.2,0.080419921875,1.5792419493198395,0.012372125,87790,0.57728511095047,0.0003,-0.27788352966308594,-1.521396443247795,-0.018752621533349157
17983488,9.77,186,10,1,0.34071424,0.2,0.187646484375,1.509235206246376,0.017978398,87800,0.5956668853759766,0.0003,0.12779539823532104,-1.5336097031831741,-0.03366855734493583
17985536,6.57,183,11,1,0.60776042,0.2,0.15244140625,1.2255799651145936,0.025500368,87810,0.4439646601676941,0.0003,0.21630018949508667,-2.079311466217041,-0.027244134270586074
17987584,8.59,187,10,1,0.6089306600000001,0.2,0.145751953125,1.4199119687080384,0.013081142,87820,0.5468682646751404,0.0003,0.24676883220672607,-1.1311561822891236,-0.023856560548301785
17989632,8.75,183,11,1,0.67988844,0.2,0.15126953125,1.129859633743763,0.015729403,87830,0.45313316583633423,0.0003,0.4482842683792114,-1.8417133629322051,-0.02917304909788072
17991680,7.53,186,10,1,0.66982938,0.2,0.152734375,0.8390771180391312,0.015824793,87840,0.33538496494293213,0.0003,0.584369421005249,-1.8538840144872666,-0.02975301307160407
17993728,5.09,181,11,1,-3.2860484000000003,0.2,0.189306640625,1.0463362619280816,0.015823252,87850,0.3909311294555664,0.0003,0.5225828289985657,-1.6854939222335816,-0.03035264539066702
17995776,6.79,169,12,1,0.13199114,0.2,0.04443359375,3.33114655315876,0.0087272115,87860,0.2536909580230713,0.0003,-0.25811612606048584,-1.5889080613851547,-0.007997746614273637
17997824,9.05,186,11,1,0.52160096,0.2,0.104052734375,3.0935915917158128,0.0137471575,87870,0.8491758108139038,0.0003,0.2651306390762329,-1.2148294895887375,-0.017603651992976664
17999872,8.5,185,11,1,0.7200046499999999,0.2,0.152099609375,1.5798442661762238,0.02073494,87880,0.7122231721878052,0.0003,0.16443318128585815,-1.5876398414373398,-0.029223452834412456
18001920,8.63,185,11,1,0.9947776899999999,0.2,0.18046875,1.4413159251213075,0.021839455,87890,0.6449230313301086,0.0003,0.2308255434036255,-1.4123490571975708,-0.028964543784968554
18003968,8.3,185,11,1,1.1372971699999999,0.2,0.145556640625,1.0316750973463058,0.017268896,87900,0.4438803493976593,0.0003,0.2605820894241333,-1.3682610034942626,-0.024109284626320004
18006016,8.75,185,11,1,1.07816849,0.2,0.1513671875,0.8687869936227799,0.015741374,87910,0.3141559958457947,0.0003,0.16017639636993408,-1.3469912320375443,-0.025304608256556095
18008064,8.65,185,11,1,1.0170962000000001,0.2,0.15126953125,0.5545266062021256,0.021777652,87920,0.20573504269123077,0.0003,0.303483784198761,-1.372998207807541,-0.02740792001131922
18010112,8.95,187,10,1,0.8557910899999999,0.2,0.166357421875,0.8769945040345192,0.01638614,87930,0.3271039128303528,0.0003,0.16365927457809448,-1.265250626206398,-0.025737858354113997
18012160,4.79,174,11,1,-0.71586965,0.2,0.15439453125,0.8196562498807907,0.017122071,87940,0.3160610795021057,0.0003,0.458416223526001,-1.706083956360817,-0.024429276026785372
