time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/explained_variance,train/entropy_loss,train/clip_fraction,train/learning_rate,train/value_loss,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/loss,train/clip_range
129024,1,21.72,-0.10334429,308,6,-0.1709604263305664,-4.19524872303009,0.1046875,0.0003,0.4710893571376801,0.013578455,620,-0.03494846387766302,-0.1399315595626831,0.2
131072,1,20.93,-0.34396647,314,6,0.19828420877456665,-4.181610059738159,0.066162109375,0.0003,0.40730182491242883,0.011496182,630,-0.03159718713723123,-0.13912665843963623,0.2
133120,1,21.5,0.03672947999999996,298,6,0.18823105096817017,-4.191048896312713,0.050634765625,0.0003,0.6021366454660892,0.010263244,640,-0.026639116799924523,-0.07420980930328369,0.2
135168,1,21.13,-0.011647669999999999,328,6,0.11088556051254272,-4.213825941085815,0.1107421875,0.0003,0.4627343565225601,0.014838745,650,-0.035042237513698636,-0.12035505473613739,0.2
137216,1,20.31,0.05310324000000004,332,6,0.260456383228302,-4.201678681373596,0.123583984375,0.0003,0.44302533343434336,0.01692355,660,-0.03951809413265437,-0.10233964025974274,0.2
139264,1,20.53,-0.13000424000000005,329,6,0.27689945697784424,-4.189933252334595,0.109619140625,0.0003,0.32671768218278885,0.0152747575,670,-0.03959919003536925,-0.15049093961715698,0.2
141312,1,21.46,-0.10915960000000002,334,6,0.25272053480148315,-4.175889563560486,0.0578125,0.0003,0.45045989826321603,0.0104947835,680,-0.030057750106789172,-0.0912204384803772,0.2
143360,1,20.55,-0.12417999000000002,334,6,0.2867588996887207,-4.19526174068451,0.09453125,0.0003,0.507977144420147,0.014549985,690,-0.03490920526674017,-0.09718917310237885,0.2
145408,1,20.69,-0.002440489999999964,331,6,0.2769821286201477,-4.18661378622055,0.10361328125,0.0003,0.41175324060022833,0.013449178,700,-0.03434679995989427,-0.11876313388347626,0.2
147456,1,22.44,-0.19486341,327,6,0.3251733183860779,-4.191624081134796,0.137060546875,0.0003,0.4280009470880032,0.0146418745,710,-0.036659996444359425,-0.13776105642318726,0.2
149504,1,21.16,-0.15283447000000006,327,6,0.22273147106170654,-4.194498443603516,0.08662109375,0.0003,0.45790869034826753,0.013355412,720,-0.03434340546373278,-0.13005122542381287,0.2
151552,1,22.4,-0.11686323999999995,332,6,0.2347392439842224,-4.2230677008628845,0.106103515625,0.0003,0.4760553605854511,0.0143670635,730,-0.0327821837970987,-0.109474316239357,0.2
153600,1,21.59,-0.08199693000000002,317,6,0.31566905975341797,-4.198882579803467,0.09794921875,0.0003,0.46850541830062864,0.013157489,740,-0.03496488574892283,-0.13265767693519592,0.2
155648,1,22.68,-0.024051930000000006,331,6,0.14919692277908325,-4.174314773082733,0.11103515625,0.0003,0.42566690035164356,0.013750985,750,-0.03920232956297696,-0.13891881704330444,0.2
157696,1,22.59,-0.3147014699999999,326,6,0.12188982963562012,-4.161332976818085,0.099609375,0.0003,0.39411937408149245,0.012813937,760,-0.03658445666078478,-0.1451094150543213,0.2
159744,1,21.95,-0.030874209999999982,328,6,0.14983296394348145,-4.185384094715118,0.0943359375,0.0003,0.5617475628852844,0.011810909,770,-0.03331153143662959,-0.10399849712848663,0.2
161792,1,22.04,-0.22967713999999997,336,6,0.17603343725204468,-4.219277453422547,0.06953125,0.0003,0.4796241208910942,0.011072967,780,-0.029121509927790612,-0.11276958882808685,0.2
163840,1,22.93,-0.11449098999999997,329,6,0.32995468378067017,-4.214380848407745,0.078955078125,0.0003,0.3928660836070776,0.011678014,790,-0.03298397987382486,-0.1315675675868988,0.2
165888,1,22.78,-0.1675168,327,6,0.11881738901138306,-4.1473728060722355,0.110302734375,0.0003,0.4823918744921684,0.013890039,800,-0.04064523538108915,-0.11777032911777496,0.2
167936,1,23.0,-0.11349569999999998,335,6,0.09992504119873047,-4.1666484594345095,0.108984375,0.0003,0.43405856676399707,0.014374498,810,-0.040128600934986026,-0.13740092515945435,0.2
169984,1,21.34,0.07485407999999999,335,6,-0.03298068046569824,-4.135011970996857,0.0892578125,0.0003,0.5300386711955071,0.012235471,820,-0.03715039454400539,-0.12579795718193054,0.2
172032,1,20.01,0.11527337999999998,335,6,-0.09633994102478027,-4.128123569488525,0.085791015625,0.0003,0.4393888130784035,0.012674383,830,-0.034187248651869596,-0.13054239749908447,0.2
174080,1,20.85,0.007743249999999988,325,6,0.16077196598052979,-4.1411874175071715,0.1255859375,0.0003,0.36671909838914873,0.014859664,840,-0.039476959663443265,-0.15885566174983978,0.2
176128,1,19.28,0.21107451000000002,337,6,0.10073906183242798,-4.10609644651413,0.107861328125,0.0003,0.4098115302622318,0.014248334,850,-0.03956864754436538,-0.12272520363330841,0.2
178176,1,21.16,-0.06188496999999999,328,6,0.06737661361694336,-4.132609534263611,0.115771484375,0.0003,0.48990734592080115,0.013526818,860,-0.03747550145490095,-0.1189119964838028,0.2
180224,1,20.5,-0.09239467999999997,329,6,0.16740930080413818,-4.111133253574371,0.0626953125,0.0003,0.4616924099624157,0.00959211,870,-0.029661078378558157,-0.11759842932224274,0.2
182272,1,19.95,0.11472193000000003,334,6,0.02223581075668335,-4.183047723770142,0.08505859375,0.0003,0.5421270884573459,0.012659433,880,-0.03243583512958139,-0.0442357063293457,0.2
184320,1,20.32,0.018681050000000022,328,6,0.2552310824394226,-4.121652269363404,0.130029296875,0.0003,0.4139170963317156,0.015170792,890,-0.04203751578461379,-0.1309228241443634,0.2
186368,1,19.91,0.22870519999999994,327,6,0.13367962837219238,-4.1980409860610965,0.132568359375,0.0003,0.5264553062617778,0.01619853,900,-0.039044477976858616,-0.11139333248138428,0.2
188416,1,19.61,0.13184271999999997,325,6,0.12246769666671753,-4.136928284168244,0.12099609375,0.0003,0.31884287744760514,0.015727889,910,-0.04286740318639204,-0.14699701964855194,0.2
190464,1,19.16,-0.16793276,329,6,0.14849358797073364,-4.129915797710419,0.08740234375,0.0003,0.40245668962597847,0.013842216,920,-0.035482917446643114,-0.14430677890777588,0.2
192512,1,19.47,-0.18921804000000006,327,6,0.1201823353767395,-4.127199387550354,0.07646484375,0.0003,0.6275814116001129,0.011319824,930,-0.02818889550399035,-0.04121662676334381,0.2
194560,1,20.32,-0.05971576999999997,329,6,0.2444601058959961,-4.166287803649903,0.074365234375,0.0003,0.5092571653425694,0.012895431,940,-0.031100307614542543,-0.0699986070394516,0.2
196608,1,20.07,0.09560179999999999,335,6,0.18554991483688354,-4.126224911212921,0.085400390625,0.0003,0.491805075854063,0.013098391,950,-0.03447655277559534,-0.056798309087753296,0.2
198656,1,19.99,0.22001694000000008,330,6,0.2653377652168274,-4.124563276767731,0.1138671875,0.0003,0.40122886896133425,0.013517663,960,-0.039414713869336995,-0.12626366317272186,0.2
200704,1,19.34,0.40297351,331,6,0.23735010623931885,-4.133390200138092,0.126318359375,0.0003,0.4308051381260157,0.014313999,970,-0.03684270636877045,-0.13154424726963043,0.2
202752,1,20.38,0.048321,329,6,0.0028004050254821777,-4.120102083683014,0.08642578125,0.0003,0.46516249030828477,0.012825701,980,-0.03525254668202251,-0.10929490625858307,0.2
204800,1,20.02,0.07846020000000004,332,6,0.13972222805023193,-4.15424257516861,0.110791015625,0.0003,0.3831699721515179,0.014972687,990,-0.03691100927535444,-0.13998742401599884,0.2
206848,1,20.64,0.049771409999999995,330,6,0.1571637988090515,-4.124814248085022,0.097021484375,0.0003,0.4186668336391449,0.011978138,1000,-0.03679548390209675,-0.11601130664348602,0.2
208896,1,20.23,-0.049902729999999965,306,6,0.3278043270111084,-4.1212286949157715,0.098193359375,0.0003,0.3718289710581303,0.012303746,1010,-0.035428318497724834,-0.1307753622531891,0.2
210944,1,19.96,0.053971300000000014,336,6,0.2707641124725342,-4.102594113349914,0.088330078125,0.0003,0.48354026712477205,0.011898427,1020,-0.03432632416952401,-0.12040378898382187,0.2
212992,1,18.82,0.21015832999999998,327,6,0.2665889859199524,-4.110636961460114,0.118212890625,0.0003,0.4301153399050236,0.014440959,1030,-0.0381538902875036,-0.1331479251384735,0.2
215040,1,19.2,-0.06505528000000001,329,6,0.24281740188598633,-4.126148891448975,0.140576171875,0.0003,0.4442926079034805,0.014037525,1040,-0.03991581960581243,-0.1434488594532013,0.2
217088,1,18.6,0.32493424000000004,335,6,0.1086844801902771,-4.1302493691444395,0.09208984375,0.0003,0.519510418176651,0.012267087,1050,-0.03205834927503019,-0.08704830706119537,0.2
219136,1,18.98,-0.01648233,329,6,0.06480860710144043,-4.138339686393738,0.0986328125,0.0003,0.46272717118263246,0.012572194,1060,-0.0387035375344567,-0.1162998229265213,0.2
221184,1,19.54,0.05132492999999999,329,6,0.42818355560302734,-4.161564803123474,0.09423828125,0.0003,0.41830404065549376,0.011966098,1070,-0.034245324111543594,-0.09397256374359131,0.2
223232,1,21.03,0.18267075000000002,333,6,0.17597168684005737,-4.165743100643158,0.10234375,0.0003,0.525610800087452,0.013933871,1080,-0.030509912013076245,-0.07677963376045227,0.2
225280,1,19.23,0.07680769000000001,332,6,0.13706982135772705,-4.125484836101532,0.095556640625,0.0003,0.4083844173699617,0.012469485,1090,-0.03515126266283915,-0.12441414594650269,0.2
227328,1,20.23,-0.014627330000000063,329,6,0.19891393184661865,-4.134769463539124,0.101171875,0.0003,0.4430127151310444,0.012857912,1100,-0.037114207120612266,-0.12244431674480438,0.2
229376,1,21.14,0.05884142,335,6,0.2934837341308594,-4.141350817680359,0.085009765625,0.0003,0.4186179362237453,0.012765819,1110,-0.03256216929294169,-0.1238330751657486,0.2
231424,1,20.75,0.15259587999999996,330,6,0.40724146366119385,-4.131028485298157,0.101953125,0.0003,0.3066438607871532,0.01415777,1120,-0.038935790630057455,-0.17502430081367493,0.2
233472,1,21.0,-0.04762680000000004,328,6,0.11568069458007812,-4.1424827694892885,0.1046875,0.0003,0.45284214429557323,0.0127925,1130,-0.03575268390122801,-0.0742628276348114,0.2
235520,1,20.91,-0.11271924,333,6,0.25866323709487915,-4.104465925693512,0.122998046875,0.0003,0.40726244188845157,0.01692061,1140,-0.0414859855780378,-0.13177134096622467,0.2
237568,1,20.62,0.003573529999999987,329,6,0.30926430225372314,-4.120856583118439,0.0759765625,0.0003,0.45295247957110407,0.013493992,1150,-0.034242895746137945,-0.07364553213119507,0.2
239616,1,19.6,0.21968395000000002,332,6,0.3105314373970032,-4.109089398384095,0.11728515625,0.0003,0.3772965710610151,0.014830206,1160,-0.03800345016643405,-0.12494879961013794,0.2
241664,1,20.06,0.03147414000000003,329,6,0.31678563356399536,-4.11760162115097,0.121142578125,0.0003,0.3848349627107382,0.014153801,1170,-0.03930858884705231,-0.14789706468582153,0.2
243712,1,20.63,0.14257876,331,6,0.16845345497131348,-4.113850772380829,0.09755859375,0.0003,0.4624122500419617,0.013785216,1180,-0.03370070406235755,-0.1330035775899887,0.2
245760,1,20.83,-0.04506986,325,6,0.12347352504730225,-4.082208120822907,0.106201171875,0.0003,0.449037529155612,0.013999758,1190,-0.03883185151498765,-0.120338074862957,0.2
247808,1,20.34,0.16412434999999995,326,6,0.09567391872406006,-4.09804904460907,0.08466796875,0.0003,0.4872109815478325,0.013888983,1200,-0.03390012069139629,-0.0980614721775055,0.2
249856,1,19.5,0.20606934000000002,331,6,0.06440460681915283,-4.134900271892548,0.08125,0.0003,0.44605964943766596,0.011603699,1210,-0.03450198480859399,-0.1100384071469307,0.2
251904,1,19.68,0.18858383,328,6,0.22876298427581787,-4.167001223564148,0.12421875,0.0003,0.41974261179566386,0.016612986,1220,-0.03916261593112722,-0.13658970594406128,0.2
253952,1,21.7,-0.22446049,332,6,0.22342294454574585,-4.164573669433594,0.124267578125,0.0003,0.36446293219923975,0.013296474,1230,-0.03661341182887554,-0.1526022106409073,0.2
